#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
RT_AIRCRAFT_TESTING;Aircraft Testing;Essais appareils;Test velivolo;Pruebas de aviación;Flugzeugtest;Oblatywanie;;Èñïûòàíèÿ ñàìîëåòîâ;;;x
RT_FIGHTER_TACTICS;Fighter Tactics;Tact. chasseurs;Tattica caccia;Tácticas de cazas;Jägertaktiken;Taktyka myœliwców;;Òàêòèêà èñòðåáèòåëåé;;;x
RT_BOMBER_TACTICS;Bomber Tactics;Tact. bombardiers;Tattiche bombardieri;Tácticas de bombarderos;Bombertaktiken;Taktyka bombowców;;Òàêòèêà áîìáàðäèðîâùèêîâ;;;x
RT_LARGE_TASKFORCE_TACTICS;Large Taskforce Tactics;Tact. gros contingents;Tattica task force grande;Tácticas de fuerza operativa grande;Taktiken für große Einsatzverbände;Taktyka du¿ych si³ zbrojnych;;Òàêòèêà áîëüøèõ îïåðàòèâíûõ ãðóïï;;;x
RT_SMALL_TASKFORCE_TACTICS;Small Taskforce Tactics;Tact. petits contingents;Tattica task force piccola;Tácticas de fuerza operativa pequeña;Taktiken für kleine Einsatzverbände;Taktyka ma³ych si³ zbrojnych;;Òàêòèêà ìàëûõ îïåðàòèâíûõ ãðóïï;;;x
RT_SEAMANSHIP;Seamanship;Matelotage;Arte della navigazione;Náutica;Seemannskunst;¯eglarstwo;;Íàâèãàöèÿ;;;x
RT_PILOTING;Piloting;Pilotage;Pilotaggio;Pilotaje;Flugkunst;Pilota¿;;Ïèëîòàæ;;;x
RT_SUBMARINE_TACTICS;Submarine Tactics;Tact. sous-marin;Tattica sottomarina;Tácticas submarinas;Unterseeboottaktiken;Taktyka okrêtów podwodnych;;Òàêòèêà ïîäâîäíûõ ëîäîê;;;x
RT_CARRIER_TACTICS;Carrier Tactics;Tact. porte-avions;Tattica portaerei;Tácticas de portaaviones;Trägertaktiken;Taktyka lotniskowców;;Òàêòèêà àâèàíîñöåâ;;;x
#;;;;;;;;;;;x
TECH_CAT_INFANTRY;Infantry;Infanterie;Fanteria;Infantería;Infanterie;Piechota;;Ïåõîòà;;;x
TECH_CAT_AIRBORNE;Airborne;Aéroporté;Forze aerotrasportate;Aerotransportada;Fallschirmjäger;Desant powietrzny;;ÂÄÂ;;;x
TECH_CAT_MARINES;Marines;Infanterie de marine;Marine;Inf. de marina;Marineinfanterie;Piechota morska;;Ìîðñêàÿ ïåõîòà;;;x
TECH_CAT_MOUNTAIN;Mountain;Montagne;Alpini;Inf. de montaña;Gebirgsjäger;Strzelcy górscy;;Ãîðíîñòðåëêè;;;x
TECH_CAT_CAVALRY;Cavalry;Cavalerie;Cavalleria;Caballería;Kavallerie;Kawaleria;;Êàâàëåðèÿ;;;x
TECH_CAT_SUPPLY;Supply;Approvisionnement;Rifornimenti;Suministros;Versorgung;Zaopatrzenie;;Ñíàáæåíèå;;;x
TECH_CAT_MOTORIZED;Motorized;Motorisé;Motorizzata;Motorizadas;Motorisierte;Zmotoryzowane;;Ìîòîðèçîâàííàÿ;;;x
TECH_CAT_MECHANIZED;Mechanized;Mécanisé;Meccanizzata;Mecanizadas;Mechanisierte;Zmechanizowane;;Ìåõàíèçèðîâàííàÿ;;;x
TECH_CAT_MANUFACTURING;Manufacturing;Fabrication;Produzione;Fabricación;Herstellung;Wytwarzanie;;Ïðîèçâîäñòâî;;;x
TECH_CAT_ROCKETRY;Rocketry;Fuséonautique;Missilistica;Técnica de cohetes;Raketen;Technologia rakietowa;;Ðàêåòíàÿ òåõíèêà;;;x
TECH_CAT_AGRICULTURE;Agriculture;Agriculture;Agricoltura;Agricultura;Landwirtschaft;Rolnictwo;;Ñåëüñêîå õîçÿéñòâî;;;x
TECH_CAT_RRWARNING;Radar Warning;Avertissement radar;Allarme radar;Aviso de radar;Radarwarnung;Ostrzeganie radarowe;;Ðàäàðû;;;x
TECH_CAT_CRYPTOGRAPHY;Cryptography;Cryptographie;Crittografia;Criptografía;Kryptographie;Kryptografia;;Êðèïòîãðàôèÿ;;;x
TECH_CAT_SYNTHETICOIL;Synthetic Oil;Carburant de synthèse;Petrolio sintetico;Combustible sintético;Synthetisches Öl;Paliwo syntetyczne;;Ñèíòåòè÷åñêîå òîïëèâî;;;x
TECH_CAT_NUCLEAR;Nuclear;Nucléaire;Nucleare;Nuclear;Nuklear;Technika j¹drowa;;ßäåðíûå òåõíîëîãèè;;;x
TECH_CAT_BOMBERS;Bombers;Bombardiers;Bombardieri;Bombarderos;Bomber;Bombowce;;Áîìáàðäèðîâùèêè;;;x
TECH_CAT_TACTBOMBERS;Tactical Bombers;Bombard. tactiques;Bombardieri tattici;Bombarderos tácticos;Taktischer Bomber;Bombowce taktyczne;;Òàêò. áîìáàðäèðîâùèêè;;;x
TECH_CAT_STRATBOMBERS;Strategic Bombers;Bombard. strat.;Bombardieri strategici;Bombarderos estratég.;Strategischer Bomber;Bombowce strat.;;Ñòðàò. áîìáàðäèðîâùèêè;;;x
TECH_CAT_CAS;Close Air Support;Bombard. en piqué;Supporto aereo ravv.;Apoyo  Proximidad;Sturzkampfbomber;Bezp. wsparcie z pow.;;Øòóðìîâèêè;;;x
TECH_CAT_NAVBOMBERS;Naval Bombers;Bombardiers navals;Bombardieri navali;Bombarderos navales;Marinebomber;Bombowce okrêtowe;;Ìîðñêèå áîìáàðäèðîâùèêè;;;x
TECH_CAT_AIRTRANSP;Air Transports;Transports aériens;Trasporti aerei;Transportes aéreos;Lufttransporter;Samoloty transportowe;;Òðàíñïîðòíûå ñàìîëåòû;;;x
TECH_CAT_FIGHTERS;Early Fighters;Premiers chasseurs;Caccia rudimentali;Cazas tempranos;Jäger;Wczesne myœliwce;;Ðàííèå èñòðåáèòåëè;;;x
TECH_CAT_INTERCEPTORS;Interceptors;Intercepteurs;Intercettori;Interceptores;Abfangjäger;Myœliwce przechw.;;Ïåðåõâàò÷èêè;;;x
TECH_CAT_ESCFIGHTERS;Escort Fighters;Chasseurs d’escorte;Caccia di scorta;Cazas de escolta;Begleitjäger;Myœliwce eskortuj¹ce;;Èñòðåá. ñîïðîâîæäåíèÿ;;;x
TECH_CAT_MULTIFIGHTERS;Fighters;Chasseurs;Caccia;Cazas;Mehrzweckjäger;Myœliwce;;Ìíîãîöåëåâûå èñòðåáèòåëè;;;x
TECH_CAT_LIGHTTANKS;Light Tanks;Chars légers;Carri leggeri;Tanques ligeros;Leichte Panzer;Lekkie czo³gi;;Ëåãêèå òàíêè;;;x
TECH_CAT_TANKDESTROYERS;Tank Destroyers;Chasseurs de chars;Distruttori di carri;Cazacarros;Jagdpanzer;Niszczyciele czo³gów;;Ñàìîõ.ïðîòèâîò.îðóäèÿ;;;x
TECH_CAT_ANTITANKART;Anti-Tank Artillery;Artillerie antichars;Artiglieria anti-carro;Artillería anticarro;Panzerabwehrartillerie;Artyleria przeciwpanc.;;Ïðîòèâîòàíê.àðòèëëåðèÿ;;;x
TECH_CAT_FIELDART;Field Artillery;Art. de campagne;Artiglieria da campo;Artillería de campaña;Feldartillerie;Artyleria polowa;;Ïîëåâàÿ àðòèëëåðèÿ;;;x
TECH_CAT_MEDIUMTANKS;Medium Tanks;Chars moyens;Carri medi;Tanques medios;Mittelschwere Panzer;Œrednie czo³gi;;Ñðåäíèå òàíêè;;;x
TECH_CAT_SELFPROPART;Self-Propelled Artillery;Artillerie AM;Artiglieria a propulsione;Artillería autopropulsada;Artillerie auf Sfl.;Artyleria samobie¿na;;Ñàìîõîäíàÿ àðòèëëåðèÿ;;;x
TECH_CAT_SELFPROPRA;SP Rocket Artillery;Lance-roquettes AM;Lanciamissili a propulsione;Art. lanzacohetes APr;Raketenart. auf Sfl.;Rakietowa art. samob.;;Ñàìîõ.ðàêåòí.àðòèëëåðèÿ;;;x
TECH_CAT_ROCKETART;Rocket Artillery;Lance-roquettes;Lanciamissili;Artillería lanzacohetes;Raketenartillerie;Artyleria rakietowa;;Ðàêåòíàÿ àðòèëëåðèÿ;;;x
TECH_CAT_HEAVYTANKS;Heavy Tanks;Chars lourds;Carri pesanti;Tanques pesados;Schwere Panzer;Ciê¿kie czo³gi;;Òÿæåëûå òàíêè;;;x
TECH_CAT_ANTIAIR;Static Anti-Air;Batterie DCA statique;Contraerea statica;Antiaéreos fijos;Statische Flugabwehr;Baterie przeciwlotn.;;Ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_CAT_ANTIAIRBRIG;Anti-Air Brigades;Brigades DCA;Brigate contraerea;Brigadas antiaéreas;Flak-Brigade;Brygady przeciwlotn.;;Áðèãàäû ÏÂÎ;;;x
TECH_CAT_ARMOUREDCAR;Armoured Cars;Véhicules blindés;Vetture corazzate;Vehículos blindados;Panzerspähwagen;Pojazdy pancerne;;Áðîíåàâòîìîáèëè;;;x
TECH_CAT_LIGHTCRUISERS;Light Cruisers;Croiseurs légers;Incrociatori leggeri;Cruceros ligeros;Leichte Kreuzer;Lekkie kr¹¿owniki;;Ëåãêèå êðåéñåðû;;;x
TECH_CAT_BATTLECRUISERS;Battlecruisers;Croiseurs CC;Incrociatori;Cruceros de batalla;Schlachtkreuzer;Kr¹¿owniki liniowe;;Ëèíåéíûå êðåéñåðû;;;x
TECH_CAT_HEAVYCRUISERS;Heavy Cruisers;Croiseurs lourds;Incrociatori pesanti;Cruceros pesados;Schwere Kreuzer;Ciê¿kie kr¹¿owniki;;Òÿæåëûå êðåéñåðû;;;x
TECH_CAT_AIRCARRIERS;Aircraft Carriers;Portes-avions;Portaerei;Portaaviones;Flugzeugträger;Lotniskowce;;Àâèàíîñöû;;;x
TECH_CAT_DESTROYERS;Destroyers;Destroyers;Cacciatorpedinieri;Destructores;Zerstörer;Niszczyciele;;Ýñìèíöû;;;x
TECH_CAT_SUBMARINES;Submarines;Sous-marins;Sottomarini;Submarinos;U-Boote;Okrêty podwodne;;Ïîäâîäíûå ëîäêè;;;x
TECH_CAT_BATTLESHIPS;Battleships;Cuirassés;Corazzate;Acorazados;Schlachtschiffe;Pancerniki;;Ëèíêîðû;;;x
TECH_CAT_LIGHTCARRIER;Light Carriers;Porte-avions léger;Portaerei Leggere;Portaaviones ligeros;Geleitträger;Lekkie lotniskowce;;Ëåãêèå àâèàíîñöû;;;x
TECH_CAT_MATERIALS;Material Science;Sciences de la matière;Scienza dei Materiali;Ciencia de materiales;Materialwissenschaft;Nauki o materia³ach ;;Ìàòåðèàëîâåäåíèå;;;x
#;;;;;;;;;;;x
TECH_INFANTRY_NAME;Infantry;Infanterie;Fanteria;Infantería;Infanterie;Piechota;;Ïåõîòà;;;x
TECH_INFANTRY_DESC;This field of research allows a nation to develop weapons and materials for its infantry personnel. It includes hand-held weapons and special equipment allowing the construction of Marines and Paratroops. But perhaps most importantly, this field of research will allow the development of proper field engineering equipment and improved logistics and command systems. This field is vital  if you want good infantry, paras and marines.;Ce domaine de recherche permet à une nation de mettre au point des armes et des équipements destinés à l'infanterie. Il s'agit notamment d'armes de poing et d'équipements spéciaux qui permettent d'entraîner des unités d'assaut amphibie et des parachutistes. Plus important encore, ce domaine de recherche mène à la mise au point de nouvelles techniques pour le génie, la logistique et les systèmes de commandement. Les recherches sur l'infanterie sont cruciales pour toutes les nations engagées dans la guerre.;Questo campo di ricerca permette a una nazione di sviluppare armi e materiali per le sue truppe di fanteria. Sono incluse armi a mano ed equipaggiamenti speciali, che consentono la produzione di marine e paracadutisti. Forse però la cosa più importante è che questo campo di ricerca permette lo sviluppo di un equipaggiamento di ingegneria da campo adeguato e sistemi logistici e di comando migliorati. Questo settore risulta fondamentale per disporre di una buona fanteria, oltre che di paracadutisti e marine esperti.;Este campo de investigación permite a una nación desarrollar armas y materiales para su personal de infantería. Incluye armas portátiles y equipo especial que permite la creación de marines y paracaidistas. Pero tal vez lo más importante es que este campo de investigación posibilitará desarrollar un equipo de ingenieros adecuado, una logística mejorada y sistemas de mando. Este campo resulta fundamental si quieres una buena infantería, paracaidistas y marines.;Dieses Forschungsfeld erlaubt die Entwicklung von Waffen und Material für die Infanterie. Es umfasst Handfeuerwaffen und Spezialausrüstung, welche die Aufstellung von Marineinfanterie- und Fallschirmjägereinheiten ermöglichen. Ganz besonders aber erlaubt dieses Forschungsgebiet die Entwicklung guter Pioniere und verbesserter Logistik- und Befehlssysteme. Dies ist ein immens wichtiges Feld, wenn Sie eine gute Infanterie, Fallschirmjäger und Marineinfanterie aufbauen wollen.;Ta ga³¹Ÿ rozwoju pozwala narodowi na rozwiniêcie broni i materia³ów dla piechoty. W ich sk³ad wchodzi uzbrojenie rêczne oraz sprzêt specjalny, pozwalaj¹cy na tworzenie piechoty morskiej i spadochroniarzy. Najwa¿niejsze jednak jest to, i¿ ga³¹Ÿ ta pozwala rozwijaæ odpowiedni sprzêt in¿ynieryjny, logistykê oraz system dowodzenia. To pole jest istotne, jeœli chcesz dysponowaæ dobr¹ piechot¹, spadochroniarzami i piechot¹ morsk¹.;;Ýòà ñôåðà èññëåäîâàíèé ïîçâîëÿåò ñòðàíå ðàçðàáàòûâàòü ïðîèçâîäñòâî îðóæèÿ è ìàòåðèàëîâ, íåîáõîäèìûõ äëÿ ïåõîòíûõ ÷àñòåé. Îíè âêëþ÷àþò â ñåáÿ ðó÷íîå îðóæèå è ñïåöèàëüíîå îáîðóäîâàíèå, íåîáõîäèìîå äëÿ ôîðìèðîâàíèÿ âîçäóøíî-äåñàíòíûõ ÷àñòåé è ïîäðàçäåëåíèé ìîðñêîé ïåõîòû. Íî íàèáîëåå âàæíî òî, ÷òî ýòà ñôåðà èññëåäîâàíèé ïîçâîëÿåò ðàçâèâàòü ïðîèçâîäñòâî íåîáõîäèìîãî èíæåíåðíîãî îáîðóäîâàíèÿ, óëó÷øàòü òûëîâîå îáåñïå÷åíèå è ñèñòåìó óïðàâëåíèÿ. Ýòî î÷åíü âàæíàÿ ñôåðà äåÿòåëüíîñòè äëÿ ëþáîãî âîþþùåãî ãîñóäàðñòâà.;;;x
TECH_APP_INFANTRY_1_NAME;Great War Infantry Division;Division d’infanterie de la Grande Guerre;Divisione di fanteria della Grande Guerra;División de infantería de la Gran Guerra;Vorkriegs-Infanteriedivision;Dywizja piechoty z I wojny œw.;;Ïåõîòíàÿ äèâèçèÿ Ïåðâîé Ìèðîâîé Âîéíû;;;x
TECH_APP_INFANTRY_1_DESC;;;;;;;;;;;x
TECH_CMP_INFANTRY_1_1_NAME;Elder Service Rifle;Premier fusil militaire;Fucile di servizio rudimentale;Fusil de servicio antiguo;Älteres Dienstgewehr;Wczesny karabin;;Âèíòîâêà ñòàðîãî îáðàçöà;;;x
TECH_CMP_INFANTRY_1_2_NAME;Infantry Gun 37mm;Fusil d’infanterie 37mm;Cannone da fanteria 37mm;Cañón de infantería de 37 mm;Infanteriegeschütz 37mm;Dzia³o piechoty 37mm;;Ïåõîòíàÿ ïóøêà 37ìì;;;x
TECH_CMP_INFANTRY_1_3_NAME;Basic Signal Command System;Système de commandement avec signal I;Sistema di segnalazione di comando di base;Sistema básico de señales de mando;Einfaches Signalbefehlssystem;Podstawowy system sygna³ów dowodzenia;;Áàçîâàÿ ñèñòåìà óïðàâëåíèÿ è ñâÿçè;;;x
TECH_CMP_INFANTRY_1_4_NAME;Grenades and Mines;Grenades et Mines;Granate e mine;Granadas y minas;Granaten und Minen;Granaty i miny;;Ãðàíàòû è ìèíû;;;x
TECH_CMP_INFANTRY_1_5_NAME;Mass Assault Training;Entraînement assaut massif;Addestramento assalto di gruppo;Instrucción para asalto en masa;Training für Massensturmangriff;Trening zmasowanego ataku;;Êóðñû øèðîêîìàñøòàáíîãî íàñòóïëåíèÿ;;;x
TECH_APP_INFANTRY_2_NAME;Early Infantry Division;Première division d’infanterie ;Divisione di fanteria rudimentale;División de infantería temprana;Frühe Infanteriedivision;Wczesna dywizja piechoty;;Ðàííÿÿ ïåõîòíàÿ äèâèçèÿ;;;x
TECH_APP_INFANTRY_2_DESC;;;;;;;;;;;x
TECH_CMP_INFANTRY_2_1_NAME;Service Rifle;Fusil militaire;Fucile di servizio;Fusil de servicio;Dienstgewehr;Karabin;;Ñòàíäàðòíàÿ âèíòîâêà;;;x
TECH_CMP_INFANTRY_2_2_NAME;Infantry Gun 50mm;Fusil d’infanterie 50mm;Cannone da fanteria 50mm;Cañón de infantería de 50 mm;Infanteriegeschütz 50mm;Dzia³o piechoty 50mm;;Ïåõîòíàÿ ïóøêà 50ìì;;;x
TECH_CMP_INFANTRY_2_3_NAME;Basic Long-Range Recon Battalion;Bataillon de reconnaissance I à long rayon d’action;Battaglione da ricognizione a lungo raggio di base;Batallón básico de reconocimiento de largo alcance;Einfaches Langstreckenaufklärungsbatallion;Podstawowy batalion dalekiego zwiadu;;Áàçîâûé áàòàëüîí ãëóáèííîé ðàçâåäêè;;;x
TECH_CMP_INFANTRY_2_4_NAME;Light Mortar 50mm;Mortier léger 50mm;Mortaio leggero da 50 mm;Mortero ligero de 50 mm;Leichter Mörser 50mm;Lekki moŸdzierz 50mm;;Ëåãêèé ìèíîìåò 50ìì;;;x
TECH_CMP_INFANTRY_2_5_NAME;Small Combat Unit Training;Entraînement petite unité de combat;Addestramento unità da combattimento piccola;Instrucción de unidad de combate pequeña;Training mit kleinen Gefechtseinheiten;Trening ma³ych jednostek bojowych;;Îáó÷åíèå ìàëûõ ïîäðàçäåëåíèé;;;x
TECH_APP_INFANTRY_3_NAME;Basic Infantry Division;Division d’infanterie I;Divisione di fanteria di base;División de infantería básica;Einfache Infanteriedivision;Podstawowa dywizja piechoty;;Áàçîâàÿ ïåõîòíàÿ äèâèçèÿ;;;x
TECH_APP_INFANTRY_3_DESC;;;;;;;;;;;x
TECH_CMP_INFANTRY_3_1_NAME;Basic Submachinegun;Mitraillette I;Fucile mitragliatore di base;Subfusil básico;Einfache Maschinenpistole;Podstawowy karabinek maszynowy;;Áàçîâûé ïèñòîëåò-ïóëåìåò;;;x
TECH_CMP_INFANTRY_3_2_NAME;Infantry Gun 75mm;Fusil d’infanterie 75mm;Cannone da fanteria 75mm;Cañón de infantería de 75 mm;Infanteriegeschütz 75mm;Dzia³o piechoty 75mm;;Ïåõîòíàÿ ïóøêà 75ìì;;;x
TECH_CMP_INFANTRY_3_3_NAME;Basic Signal Interception and Jamming;Interception signal I et brouillage;Intercettazione e disturbo segnale di base;Captación e interferencia básicas de señales ;Einfaches Signalabfangen und Stören;Podstawowe przechwytywanie i zag³uszanie;;Áàçîâûå ïåðåõâàò è ïîäàâëåíèå ñèãíàëîâ;;;x
TECH_CMP_INFANTRY_3_4_NAME;Medium Mortar 81mm;Mortier moyen 81mm;Mortaio medio da 81 mm;Mortero medio de 81 mm;Mittlerer Mörser 81mm;Œredni moŸdzierz 81mm;;Ñðåäíèé ìèíîìåò 81ìì;;;x
TECH_CMP_INFANTRY_3_5_NAME;Specialist Support Training;Entraînement spécialisé d’appui;Addestramento specialista supporto;Instrucción de apoyo especializada;Training mit Spezialistenunterstützung;Trening specjalistycznego wsparcia;;Ïîäãîòîâêà ÷àñòåé îñîáîãî íàçíà÷åíèÿ;;;x
TECH_APP_INFANTRY_4_NAME;Improved Infantry Division;Division d’infanterie II;Divisione di fanteria potenziata;División de infantería mejorada;Verbesserte Infanteriedivision;Ulepszona dywizja piechoty;;Óëó÷øåííàÿ ïåõîòíàÿ äèâèçèÿ;;;x
TECH_APP_INFANTRY_4_DESC;;;;;;;;;;;x
TECH_CMP_INFANTRY_4_1_NAME;Improved Submachinegun;Mitraillette II ;Fucile mitragliatore potenziato;Subfusil mejorado;Verbesserte Maschinenpistole;Ulepszony karabinek maszynowy;;Óëó÷øåííûé ïèñòîëåò-ïóëåìåò;;;x
TECH_CMP_INFANTRY_4_2_NAME;Infantry Gun 105mm;Fusil d’infanterie 105mm;Cannone da fanteria 105mm;Cañón de infantería de 105 mm;Infanteriegeschütz 105mm;Dzia³o piechoty 105mm;;Ïåõîòíàÿ ïóøêà 105ìì;;;x
TECH_CMP_INFANTRY_4_3_NAME;Improved Signal Command System;Système de commandement avec signal II;Sistema di segnalazione di comando potenziato;Sistema mejorado de señales de mando;Verbessertes Signalbefehlssystem;Ulepszony system sygna³ów dowodzenia;;Óëó÷øåííàÿ ñèñòåìà óïðàâëåíèÿ è ñâÿçè;;;x
TECH_CMP_INFANTRY_4_4_NAME;Heavy Mortar 120mm;Mortier lourd 120mm;Mortaio pesante da 120 mm;Mortero pesado de 120 mm;Schwerer Mörser 120mm;Ciê¿ki moŸdzierz 120mm;;Òÿæåëûé ìèíîìåò 120ìì;;;x
TECH_CMP_INFANTRY_4_5_NAME;Combined Arms Initiative Training;Entraînement esprit d’initiative armées combinées;Addestramento introduttivo armi combinate;Instrucción en iniciativa de armamento combinado;Initiativetraining mit kombinierten Waffengattungen;Inicjowany trening wspólny wojsk;;Îáó÷åíèå îáùåâîéñêîâûõ ïîäðàçäåëåíèé;;;x
TECH_APP_INFANTRY_5_NAME;Advanced Infantry Division;Division d’infanterie III;Divisione di fanteria avanzata;División de infantería avanzada;Fortschrittliche Infanteriedivision;Zaawansowana dywizja piechoty;;Óñîâåðøåíñòâîâàííàÿ ïåõîòíàÿ äèâèçèÿ;;;x
TECH_APP_INFANTRY_5_DESC;;;;;;;;;;;x
TECH_CMP_INFANTRY_5_1_NAME;Basic Assault Rifle;Fusil d’assaut I;Fucile d'assalto di base;Fusil de asalto básico;Einfaches Sturmgewehr;Podstawowy karabin automatyczny;;Áàçîâûé àâòîìàò;;;x
TECH_CMP_INFANTRY_5_2_NAME;Infantry Gun 150mm;Fusil d’infanterie 150mm;Cannone da fanteria 150 mm;Cañón de infantería de 150 mm;Infanteriegeschütz 150mm;Dzia³o piechoty 150mm;;Ïåõîòíàÿ ïóøêà 150ìì;;;x
TECH_CMP_INFANTRY_5_3_NAME;Improved Long-Range Recon Battalion;Bataillon de reconnaissance II à long rayon d’action;Battaglione da ricognizione a lungo raggio potenziato;Batallón mejorado de reconocimiento de largo alcance;Verbessertes Langstreckenaufklärungsbatallion;Ulepszony batalion dalekiego zwiadu;;Óëó÷øåííûé áàòàëüîí ãëóáèííîé ðàçâåäêè;;;x
TECH_CMP_INFANTRY_5_4_NAME;Tube-launched Rocket;Roquette tirée de tube;Razzo con lanciatore;Cohete de tubo lanzacohetes;Rohrrakete;Rurowa wyrzutnia rakiet;;Èíäèâèäóàëüíàÿ ðàêåòíàÿ óñòàíîâêà;;;x
TECH_CMP_INFANTRY_5_5_NAME;Task Force Training;Entraînement contingent;Addestramento task force;Instrucción de fuerza operativa;Kampfgruppentraining;Szkolenie si³ zbrojnych;;Êóðñû îïåðàòèâíûõ ãðóïï;;;x
TECH_APP_INFANTRY_6_NAME;Semi-Modern Infantry Division;Division d’infanterie semi-moderne;Divisione di fanteria semi-moderna;División de infantería semimoderna;Halbmoderne Infanteriedivision;Powojenna dywizja piechoty;;Ïîëóñîâðåìåííàÿ ïåõîòíàÿ äèâèçèÿ;;;x
TECH_APP_INFANTRY_6_DESC;;;;;;;;;;;x
